Abbreviation,Full Form
Inflammation Res,Inflammation Research
Infrared Phys,Infrared Physics
Ing Quim Madrid,Ingenieria Quimica (Madrid)
Inhalation Toxicol,Inhalation Toxicology
Inorg Chem Washington DC U S,"Inorganic Chemistry (Washington, DC, United States)"
Inorg Chem Commun,Inorganic Chemistry Communications
Inorg Chem,Inorganic Chemistry
Inorg Mater,Inorganic Materials (Translation of Neorganicheskie Materialy)
Inorg React Mech Philadelphia PA U S,"Inorganic Reaction Mechanisms (Philadelphia, PA, United States)"
Inorg Synth,Inorganic Syntheses
Inorg Chim Acta,Inorganica Chimica Acta
Insect Biochem Mol Biol,Insect Biochemistry and Molecular Biology
Insect Mol Biol,Insect Molecular Biology
Inst Phys Conf Ser,Institute of Physics Conference Series
Inst Chem Eng Symp Ser,Institution of Chemical Engineers Symposium Series
Instrum Sci Technol,Instrumentation Science & Technology
Intermetallics,Intermetallics
Int Annu Conf ICT,International Annual Conference of ICT
Int Arch Allergy Appl Immunol,International Archives of Allergy and Immunology
Int Congr Ser  Excerpta Med,International Congress Series - Excerpta Medica
Int Corros Conf Ser,International Corrosion Conference Series
Int DATA Ser Sel Data Mixtures Ser A,"International DATA Series, Selected Data on Mixtures, Series A: Thermodynamic Properties of Non-Reacting Binary Systems of Organic Substances"
Int Immunol,International Immunology
Int Immunopharmacol,International Immunopharmacology
Int J Vitam Nutr Res,International Journal for Vitamin and Nutrition Research
Int J Adhes Adhes,International Journal of Adhesion and Adhesives
Int J Antimicrob Agents,International Journal of Antimicrobial Agents
Int J Appl Ceram Technol,International Journal of Applied Ceramic Technology
Int J Biochem Cell Biol,International Journal of Biochemistry & Cell Biology
Int J Biochem,International Journal of Biochemistry
Int J Biol Macromol,International Journal of Biological Macromolecules
Int J Cancer,International Journal of Cancer
Int J Chem Kinet,International Journal of Chemical Kinetics
Int J Chem,International Journal of Chemistry
Int J Coal Geol,International Journal of Coal Geology
Int J Electrochem Sci,International Journal of Electrochemical Science
Int J Environ Pollut,International Journal of Environment and Pollution
Int J Environ Anal Chem,International Journal of Environmental Analytical Chemistry
Int J Food Sci Technol,International Journal of Food Science and Technology
Int J Heat Mass Transfer,International Journal of Heat and Mass Transfer
Int J Hydrogen Energy,International Journal of Hydrogen Energy
Int J Immunogenet,International Journal of Immunogenetics
Int J Immunopharmacol,International Journal of Immunopharmacology
Int J Infrared Millimeter Waves,International Journal of Infrared and Millimeter Waves
Int J Mass Spectrom Ion Processes,International Journal of Mass Spectrometry and Ion Processes
Int J Mass Spectrom,International Journal of Mass Spectrometry
Int J Mater Res,International Journal of Materials Research
Int J Miner Process,International Journal of Mineral Processing
Int J Multiphase Flow,International Journal of Multiphase Flow
Int J Nanosci,International Journal of Nanoscience
Int J NonEquilib Process,International Journal of Non-Equilibrium Processing
Int J Pept Protein Res,International Journal of Peptide and Protein Research
Int J Pept Res Ther,International Journal of Peptide Research and Therapeutics
Int J Pharm,International Journal of Pharmaceutics
Int J PIXE,International Journal of PIXE
Int J Polym Anal Charact,International Journal of Polymer Analysis and Characterization
Int J Polym Mater,International Journal of Polymeric Materials
Int J Powder Metall Princeton N J,"International Journal of Powder Metallurgy (Princeton, New Jersey)"
Int J Quantum Chem,International Journal of Quantum Chemistry
Int J Radiat Biol,International Journal of Radiation Biology
Int J Radiat Oncol Biol Phys,"International Journal of Radiation Oncology, Biology, Physics"
Int J Refract Met Hard Mater,International Journal of Refractory Metals & Hard Materials
Int J Thermophys,International Journal of Thermophysics
Int Mater Rev,International Materials Reviews
Int Polym Process,International Polymer Processing
Int Rev Cell Mol Biol,International Review of Cell and Molecular Biology
Int Rev Phys Chem,International Reviews in Physical Chemistry
Int SAMPE Symp Exhib,International SAMPE Symposium and Exhibition
Invest New Drugs,Investigational New Drugs
InzhFiz Zh,Inzhenerno-Fizicheskii Zhurnal
Ion Exch Solvent Extr,Ion Exchange and Solvent Extraction
Ionics,Ionics
Ironmaking Steelmaking,Ironmaking and Steelmaking
ISIJ Int,ISIJ International
Isotopenpraxis,Isotopenpraxis
Isot Environ Health Stud,Isotopes in Environmental and Health Studies
Isr J Chem,Israel Journal of Chemistry
Ital J Biochem,Italian Journal of Biochemistry
IUBMB Life,IUBMB Life
Iyakuhin Kenkyu,Iyakuhin Kenkyu
Izmer Tekh,Izmeritel'naya Tekhnika
Izv Akad Nauk Gruz SSR Ser Khim,"Izvestiya Akademii Nauk Gruzii, Seriya Khimicheskaya"
Izv Akad Nauk Kaz SSR Ser Khim,"Izvestiya Akademii Nauk Respubliki Kazakhstan, Seriya Khimicheskaya"
Izv Akad Nauk Ser Fiz,"Izvestiya Akademii Nauk, Seriya Fizicheskaya"
Izv Akad Nauk SSSR Ser Geol,"Izvestiya Akademii Nauk, Seriya Geologicheskaya"
Izv Nats Akad Nauk Resp Kaz Ser Khim,"Izvestiya Natsional'noi Akademii Nauk Respubliki Kazakhstan, Seriya Khimicheskaya"
Izv Vyssh Uchebn Zaved Chern Metall,"Izvestiya Vysshikh Uchebnykh Zavedenii, Chernaya Metallurgiya"
Izv Vyssh Uchebn Zaved Fiz,"Izvestiya Vysshikh Uchebnykh Zavedenii, Fizika"
Izv Vyssh Uchebn Zaved Khim Khim Tekhnol,"Izvestiya Vysshikh Uchebnykh Zavedenii, Khimiya i Khimicheskaya Tekhnologiya"
Izv Vyssh Uchebn Zaved Tsvetn Metall,"Izvestiya Vysshikh Uchebnykh Zavedenii, Tsvetnaya Metallurgiya"
JAMA J Am Med Assoc,"JAMA, the Journal of the American Medical Association"
Jpn J Antibiot,Japanese Journal of Antibiotics
Jpn J Appl Phys Part 1,"Japanese Journal of Applied Physics, Part 1: Regular Papers, Short Notes & Review Papers"
Jpn J Appl Phys Part 2,"Japanese Journal of Applied Physics, Part 2: Letters & Express Letters"
Jpn J Appl Phys Part 2,"Japanese Journal of Applied Physics, Part 2: Letters"
Jpn J Appl Phys Part 1,"Japanese Journal of Applied Physics, Part I: Regular Papers and Short Notes"
Jpn J Appl Phys Part 2,"Japanese Journal of Applied Physics, Part II: Letters"
Jpn J Cancer Res,Japanese Journal of Cancer Research
Jpn J Pharmacol,Japanese Journal of Pharmacology
JBIC J Biol Inorg Chem,"JBIC, Journal of Biological Inorganic Chemistry"
JCT Coatingstech,JCT Coatingstech
JCT Res,JCT Research
JETP Lett,JETP Letters (Translation of Pis'ma v Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki)
Jiegou Huaxue,Jiegou Huaxue
Jinshu Rechuli,Jinshu Rechuli
Jinshu Xuebao,Jinshu Xuebao
Jisuanji Yu Yingyong Huaxue,Jisuanji Yu Yingyong Huaxue
J  Am Water Works Assoc,Journal - American Water Works Association
J Chim Phys PhysChim Biol,Journal de Chimie Physique et de Physico-Chimie Biologique
J Pharm Belg,Journal de Pharmacie de Belgique
J Phys II,"Journal de Physique II: Atomic, Molecular and Cluster Physics, Chemical Physics, Mechanics and Hydrodynamics"
J Phys III,"Journal de Physique III: Applied Physics, Materials Science, Fluids, Plasma and Instrumentation"
J Phys IV,Journal de Physique IV
J Prakt Chem,Journal fuer Praktische Chemie/Chemiker-Zeitung
J Adhes Sci Technol,Journal of Adhesion Science and Technology
J Adhes,Journal of Adhesion
J Aerosol Sci,Journal of Aerosol Science
J Agric Food Chem,Journal of Agricultural and Food Chemistry
J Alloys Compd,Journal of Alloys and Compounds
J Anal Appl Pyrolysis,Journal of Analytical and Applied Pyrolysis
J Anal At Spectrom,Journal of Analytical Atomic Spectrometry
J Anal Chem,Journal of Analytical Chemistry (Translation of Zhurnal Analiticheskoi Khimii)
J Anal Toxicol,Journal of Analytical Toxicology
J Anim Sci Savoy IL U S,"Journal of Animal Science (Savoy, IL, United States)"
J Anim Sci,Journal of Animal Science
J Antibiot,Journal of Antibiotics
J Antimicrob Chemother,Journal of Antimicrobial Chemotherapy
J AOAC Int,Journal of AOAC International
J Appl Electrochem,Journal of Appled Electrochemistry
J Appl Anim Welfare Sci,Journal of Applied Animal Welfare Science
J Appl Crystallogr,Journal of Applied Crystallography
J Appl Electrochem,Journal of Applied Electrochemistry
J Appl Phys,Journal of Applied Physics
J Appl Physiol,Journal of Applied Physiology
J Appl Polym Sci,Journal of Applied Polymer Science
J Appl Polym Sci Appl Polym Symp,Journal of Applied Polymer Science: Applied Polymer Symposium
J Appl Spectrosc,Journal of Applied Spectroscopy (Translation of Zhurnal Prikladnoi Spektroskopii)
J Appl Toxicol,Journal of Applied Toxicology
J Atmos Chem,Journal of Atmospheric Chemistry
J Autom Methods Manage Chem,Journal of Automated Methods & Management in Chemistry
J Bacteriol,Journal of Bacteriology
J Basic Microbiol,Journal of Basic Microbiology
J Bioact Compat Polym,Journal of Bioactive and Compatible Polymers
J Biochem Biophys Methods,Journal of Biochemical and Biophysical Methods
J Biochem Mol Toxicol,Journal of Biochemical and Molecular Toxicology
J Biochem Tokyo Jpn,"Journal of Biochemistry (Tokyo, Japan)"
J Biochem Mol Biol,Journal of Biochemistry and Molecular Biology
J Bioenerg Biomembr,Journal of Bioenergetics and Biomembranes
J Biol Chem,Journal of Biological Chemistry
J Biol Inorg Chem,Journal of Biological Inorganic Chemistry
J Biomater Sci Polym Ed,"Journal of Biomaterials Science, Polymer Edition"
J Biomed Mater Res Part A,"Journal of Biomedical Materials Research, Part A"
J Biomed Mater Res Part B,"Journal of Biomedical Materials Research, Part B: Applied Biomaterials"
J Biomed Nanotechnol,Journal of Biomedical Nanotechnology
J Biomed Opt,Journal of Biomedical Optics
J Biomol NMR,Journal of Biomolecular NMR
J Biomol Struct Dyn,Journal of Biomolecular Structure & Dynamics
J Biosci Bioeng,Journal of Bioscience and Bioengineering
J Biosci,Journal of Biosciences
J Biotechnol,Journal of Biotechnology
J Bone Miner Res,Journal of Bone and Mineral Research
J Cancer Mol,Journal of Cancer Molecules
J Capillary Electrophor Microchip Technol,Journal of Capillary Electrophoresis and Microchip Technology
J Carbohydr Chem,Journal of Carbohydrate Chemistry
J Cardiovasc Pharmacol,Journal of Cardiovascular Pharmacology
J Catal,Journal of Catalysis
J Cell Biol,Journal of Cell Biology
J Cell Sci,Journal of Cell Science
J Cell Biochem,Journal of Cellular Biochemistry
J Cell Physiol,Journal of Cellular Physiology
J Chem Eng Data,Journal of Chemical and Engineering Data
J Chem Crystallogr,Journal of Chemical Crystallography
J Chem Ecol,Journal of Chemical Ecology
J Chem Educ,Journal of Chemical Education
J Chem Eng Jpn,Journal of Chemical Engineering of Japan
J Chem Inf Comput Sci,Journal of Chemical Information and Computer Sciences
J Chem Inf Model,Journal of Chemical Information and Modeling
J Chem Neuroanat,Journal of Chemical Neuroanatomy
J Chem Phys,Journal of Chemical Physics
J Chem Res,Journal of Chemical Research
J Chem Res Synop,"Journal of Chemical Research, Synopses"
J Chem Sci Bangalore India,"Journal of Chemical Sciences (Bangalore, India)"
J Chem Technol Biotechnol,Journal of Chemical Technology and Biotechnology
J Chem Theory Comput,Journal of Chemical Theory and Computation
J Chem Thermodyn,Journal of Chemical Thermodynamics
J Chemom,Journal of Chemometrics
J Chromatogr Sci,Journal of Chromatographic Science
J Chromatogr,Journal of Chromatography
J Chromatogr A,"Journal of Chromatography, A"
J Chromatogr B Anal Technol Biomed Life Sci,"Journal of Chromatography, B: Analytical Technologies in the Biomedical and Life Sciences"
J Clin Endocrinol Metab,Journal of Clinical Endocrinology and Metabolism
J Clin Invest,Journal of Clinical Investigation
J Clin Microbiol,Journal of Clinical Microbiology
J Cluster Sci,Journal of Cluster Science
J Coat Technol Res,Journal of Coatings Technology and Research
J Colloid Interface Sci,Journal of Colloid and Interface Science
J Comb Chem,Journal of Combinatorial Chemistry
J Comp Neurol,Journal of Comparative Neurology
J Comput Theor Nanosci,Journal of Computational and Theoretical Nanoscience
J Comput Biol,Journal of Computational Biology
J Comput Chem,Journal of Computational Chemistry
J Comput Phys,Journal of Computational Physics
J Comput Chem Jpn,"Journal of Computer Chemistry, Japan"
J ComputAided Mol Des,Journal of Computer-Aided Molecular Design
J Contam Hydrol,Journal of Contaminant Hydrology
J Controlled Release,Journal of Controlled Release
J Coord Chem,Journal of Coordination Chemistry
J Cryst Growth,Journal of Crystal Growth
J Crystallogr Spectrosc Res,Journal of Crystallographic and Spectroscopic Research
J Dairy Res,Journal of Dairy Research
J Dairy Sci,Journal of Dairy Science
J Dent Res,Journal of Dental Research
J Dispersion Sci Technol,Journal of Dispersion Science and Technology
J Drug Targeting,Journal of Drug Targeting
J Econ Entomol,Journal of Economic Entomology
J Electroanal Chem,Journal of Electroanalytical Chemistry
J Electron Spectrosc Relat Phenom,Journal of Electron Spectroscopy and related Phenomena
J Electron Mater,Journal of Electronic Materials
J Endocrinol,Journal of Endocrinology
J Endotoxin Res,Journal of Endotoxin Research
J Energ Mater,Journal of Energetic Materials
J Environ Eng Reston VA U S,"Journal of Environmental Engineering (Reston, VA, United States)"
J Environ Monit,Journal of Environmental Monitoring
J Environ Qual,Journal of Environmental Quality
J Environ Radioact,Journal of Environmental Radioactivity
J Environ Sci Eng,Journal of Environmental Science & Engineering
J Environ Sci Health Part A,"Journal of Environmental Science and Health, Part A: Environmental Science and Engineering"
J Environ Sci Health Part A ToxicHazard Subst Environ Eng,"Journal of Environmental Science and Health, Part A: Toxic/Hazardous Substances & Environmental Engineering"
J Environ Sci Health Part B,"Journal of Environmental Science and Health, Part B: Pesticides, Food Contaminants, and Agricultural Wastes"
J Enzyme Inhib Med Chem,Journal of Enzyme Inhibition and Medicinal Chemistry
J Ethnopharmacol,Journal of Ethnopharmacology
J Exp Theor Phys,Journal of Experimental and Theoretical Physics (Translation of Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki)
J Exp Anim Sci,Journal of Experimental Animal Science
J Exp Biol,Journal of Experimental Biology
J Exp Bot,Journal of Experimental Botany
J Exp Med,Journal of Experimental Medicine
J Exp Nanosci,Journal of Experimental Nanoscience
J Exp Zool,Journal of Experimental Zoology
J Ferment Bioeng,Journal of Fermentation and Bioengineering
J Fluid Mech,Journal of Fluid Mechanics
J Fluoresc,Journal of Fluorescence
J Fluorine Chem,Journal of Fluorine Chemistry
J Food Biochem,Journal of Food Biochemistry
J Food Eng,Journal of Food Engineering
J Food Prot,Journal of Food Protection
J Food Sci,Journal of Food Science
J Fusion Energy,Journal of Fusion Energy
J Gen Appl Microbiol,Journal of General and Applied Microbiology
J Gen Microbiol,Journal of General Microbiology
J Gen Virol,Journal of General Virology
J Geochem Explor,Journal of Geochemical Exploration
J Geophys Res Atmos,"Journal of Geophysical Research, [Atmospheres]"
J Hazard Mater,Journal of Hazardous Materials
J Heat Transfer,Journal of Heat Transfer
J Heterocycl Chem,Journal of Heterocyclic Chemistry
J High Resolut Chromatogr,Journal of High Resolution Chromatography
J Histochem Cytochem,Journal of Histochemistry and Cytochemistry
J Hypertens,Journal of Hypertension
J Imaging Sci Technol,Journal of Imaging Science and Technology
J Immunoassay Immunochem,Journal of Immunoassay & Immunochemistry
J Immunol Methods,Journal of Immunological Methods
J Immunol,Journal of Immunology
J Inclusion Phenom Macrocyclic Chem,Journal of Inclusion Phenomena and Macrocyclic Chemistry
J Inclusion Phenom,Journal of Inclusion Phenomena and Molecular Recognition in Chemistry
J Ind Eng Chem Seoul Repub Korea,"Journal of Industrial and Engineering Chemistry (Seoul, Republic of Korea)"
J Ind Microbiol Biotechnol,Journal of Industrial Microbiology & Biotechnology
J Infect Dis,Journal of Infectious Diseases
J Inorg Organomet Polym Mater,Journal of Inorganic and Organometallic Polymers and Materials
J Inorg Organomet Polym,Journal of Inorganic and Organometallic Polymers
J Inorg Biochem,Journal of Inorganic Biochemistry
J Insect Physiol,Journal of Insect Physiology
J Interferon Cytokine Res,Journal of Interferon and Cytokine Research
J Interferon Res,Journal of Interferon Research
J Invest Dermatol,Journal of Investigative Dermatology
J Labelled Compd Radiopharm,Journal of Labelled Compounds & Radiopharmaceuticals
J Lab Clin Med,Journal of Laboratory and Clinical Medicine
J Leukocyte Biol,Journal of Leukocyte Biology
J Lightwave Technol,Journal of Lightwave Technology
J Lipid Res,Journal of Lipid Research
J Lipid Sci Technol,Journal of Lipid Science and Technology
J Liq Chromatogr Relat Technol,Journal of Liquid Chromatography & Related Technologies
J Liq Chromatogr,Journal of Liquid Chromatography
J Low Temp Phys,Journal of Low Temperature Physics
J Lumin,Journal of Luminescence
J Macromol Sci Part A Pure Appl Chem,"Journal of Macromolecular Science, Part A: Pure and Applied Chemistry"
J Macromol Sci Part B Phys,"Journal of Macromolecular Science, Part B: Physics"
J Macromol Sci Phys,"Journal of Macromolecular Science, Physics"
J Macromol Sci Polym Rev,"Journal of Macromolecular Science, Polymer Reviews"
J Macromol Sci Pure Appl Chem,"Journal of Macromolecular Science, Pure and Applied Chemistry"
J Magn Reson,Journal of Magnetic Resonance
J Magn Magn Mater,Journal of Magnetism and Magnetic Materials
J Mass Spectrom,Journal of Mass Spectrometry
J Mater Chem,Journal of Materials Chemistry
J Mater Eng Perform,Journal of Materials Engineering and Performance
J Mater Res,Journal of Materials Research
J Mater Sci Lett,Journal of Materials Science Letters
J Mater Sci,Journal of Materials Science
J Mater Sci Mater Electron,Journal of Materials Science: Materials in Electronics
J Mater Sci Mater Med,Journal of Materials Science: Materials in Medicine
J Math Chem,Journal of Mathematical Chemistry
J Med Microbiol,Journal of Medical Microbiology
J Med Chem,Journal of Medicinal Chemistry
J Med Food,Journal of Medicinal Food
J Membr Biol,Journal of Membrane Biology
J Membr Sci,Journal of Membrane Science
J Microbiol Methods,Journal of Microbiological Methods
J Microencapsulation,Journal of Microencapsulation
J Mod Opt,Journal of Modern Optics
J Mol Cell Cardiol,Journal of Molecular and Cellular Cardiology
J Mol Biol,Journal of Molecular Biology
J Mol Catal A Chem,Journal of Molecular Catalysis A: Chemical
J Mol Catal B Enzym,Journal of Molecular Catalysis B: Enzymatic
J Mol Catal,Journal of Molecular Catalysis
J Mol Endocrinol,Journal of Molecular Endocrinology
J Mol Evol,Journal of Molecular Evolution
J Mol Graphics Modell,Journal of Molecular Graphics & Modelling
J Mol Liq,Journal of Molecular Liquids
J Mol Microbiol Biotechnol,Journal of Molecular Microbiology and Biotechnology
J Mol Neurosci,Journal of Molecular Neuroscience
J Mol Recognit,Journal of Molecular Recognition
J Mol Spectrosc,Journal of Molecular Spectroscopy
J Mol Struct,Journal of Molecular Structure
J Mol Struct Theochem,Journal of Molecular Structure--Theochem
J Nanosci Nanotechnol,Journal of Nanoscience and Nanotechnology
J Nat Gas Chem,Journal of Natural Gas Chemistry
J Nat Prod,Journal of Natural Products
J Near Infrared Spectrosc,Journal of Near Infrared Spectroscopy
J Neural Transm Gen Sect,Journal of Neural Transmission: General Section
J Neurochem,Journal of Neurochemistry
J Neuroendocrinol,Journal of Neuroendocrinology
J Neuroimmunol,Journal of Neuroimmunology
J Neurophysiol,Journal of Neurophysiology
J Neurosci Methods,Journal of Neuroscience Methods
J Neurosci Res,Journal of Neuroscience Research
J Neurosci,Journal of Neuroscience
J NonCryst Solids,Journal of Non-Crystalline Solids
J NonNewtonian Fluid Mech,Journal of Non-Newtonian Fluid Mechanics
J Nucl Mater,Journal of Nuclear Materials
J Nucl Sci Technol Tokyo Jpn,"Journal of Nuclear Science and Technology (Tokyo, Japan)"
J Nucl Sci Technol,Journal of Nuclear Science and Technology
J Nutr,Journal of Nutrition
J Nutr Biochem,Journal of Nutritional Biochemistry
J Nutr Sci Vitaminol,Journal of Nutritional Science and Vitaminology
J Ocul Pharmacol Ther,Journal of Ocular Pharmacology and Therapeutics
J Oleo Sci,Journal of Oleo Science
J Org Chem,Journal of Organic Chemistry
J Organomet Chem,Journal of Organometallic Chemistry
J Pept Res,Journal of Peptide Research
J Pept Sci,Journal of Peptide Science
J Pet Sci Eng,Journal of Petroleum Science & Engineering
J Petrol,Journal of Petrology
J Pharm Biomed Anal,Journal of Pharmaceutical and Biomedical Analysis
J Pharm Sci,Journal of Pharmaceutical Sciences
J PharmacobioDyn,Journal of Pharmacobio-Dynamics
J Pharmacokinet Biopharm,Journal of Pharmacokinetics and Biopharmaceutics
J Pharmacol Toxicol Methods,Journal of Pharmacological and Toxicological Methods
J Pharmacol Sci Tokyo Jpn,"Journal of Pharmacological Sciences (Tokyo, Japan)"
J Pharmacol Exp Ther,Journal of Pharmacology and Experimental Therapeutics
J Pharm Pharmacol,Journal of Pharmacy and Pharmacology
J Phase Equilib Diffus,Journal of Phase Equilibria and Diffusion
J Phase Equilib,Journal of Phase Equilibria
J Photochem Photobiol A,"Journal of Photochemistry and Photobiology, A: Chemistry"
J Photochem Photobiol B,"Journal of Photochemistry and Photobiology, B: Biology"
J Photochem Photobiol C,"Journal of Photochemistry and Photobiology, C: Photochemistry Reviews"
J Photopolym Sci Technol,Journal of Photopolymer Science and Technology
J Phys Chem Ref Data,Journal of Physical and Chemical Reference Data
J Phys Chem A,Journal of Physical Chemistry A
J Phys Chem B,Journal of Physical Chemistry B
J Phys Chem C,Journal of Physical Chemistry C
J Phys Chem,Journal of Physical Chemistry
J Phys Org Chem,Journal of Physical Organic Chemistry
J Phys A Math Gen,Journal of Physics A: Mathematical and General
J Phys Chem Solids,Journal of Physics and Chemistry of Solids
J Phys B At Mol Opt Phys,"Journal of Physics B: Atomic, Molecular and Optical Physics"
J Phys D Appl Phys,Journal of Physics D: Applied Physics
J Phys G Nucl Part Phys,Journal of Physics G: Nuclear and Particle Physics
J Phys Condens Matter,Journal of Physics: Condensed Matter
J Physiol London,Journal of Physiology (London)
J Physiol Oxford U K,"Journal of Physiology (Oxford, United Kingdom)"
J Pineal Res,Journal of Pineal Research
J Planar ChromatogrMod TLC,Journal of Planar Chromatography--Modern TLC
J Plant Growth Regul,Journal of Plant Growth Regulation
J Plant Nutr Soil Sci,Journal of Plant Nutrition and Soil Science
J Plant Nutr,Journal of Plant Nutrition
J Plant Physiol,Journal of Plant Physiology
J Polym Mater,Journal of Polymer Materials
J Polym Res,Journal of Polymer Research
J Polym Sci Part A Polym Chem,"Journal of Polymer Science, Part A: Polymer Chemistry"
J Polym Sci Part B Polym Phys,"Journal of Polymer Science, Part B: Polymer Physics"
J Polym Environ,Journal of Polymers and the Environment
J Porous Mater,Journal of Porous Materials
J Porphyrins Phthalocyanines,Journal of Porphyrins and Phthalocyanines
J Power Sources,Journal of Power Sources
J Process Control,Journal of Process Control
J Propul Power,Journal of Propulsion and Power
J Protein Chem,Journal of Protein Chemistry
J Proteome Res,Journal of Proteome Research
J Pulp Pap Sci,Journal of Pulp and Paper Science
J Quant Spectrosc Radiat Transfer,Journal of Quantitative Spectroscopy & Radiative Transfer
J Radioanal Nucl Chem,Journal of Radioanalytical and Nuclear Chemistry
J Raman Spectrosc,Journal of Raman Spectroscopy
J Recept Signal Transduction,Journal of Receptors and Signal Transduction
J Reinf Plast Compos,Journal of Reinforced Plastics and Composites
J Reprod Fertil,Journal of Reproduction and Fertility
J Rheol Melville NY U S,"Journal of Rheology (Melville, NY, United States)"
J Rheol N Y NY U S,"Journal of Rheology (New York, NY, United States)"
J Sci Ind Res,Journal of Scientific & Industrial Research
J Sep Sci,Journal of Separation Science
J SolGel Sci Technol,Journal of Sol-Gel Science and Technology
J Solid State Chem,Journal of Solid State Chemistry
J Solid State Electrochem,Journal of Solid State Electrochemistry
J Solution Chem,Journal of Solution Chemistry
J Steroid Biochem Mol Biol,Journal of Steroid Biochemistry and Molecular Biology
J Struct Funct Genomics,Journal of Structural and Functional Genomics
J Struct Biol,Journal of Structural Biology
J Struct Chem,Journal of Structural Chemistry (Translation of Zhurnal Strukturnoi Khimii)
J Sulfur Chem,Journal of Sulfur Chemistry
J Supercond Novel Magn,Journal of Superconductivity and Novel Magnetism
J Supercond,Journal of Superconductivity
J Supercrit Fluids,Journal of Supercritical Fluids
J Supramol Chem,Journal of Supramolecular Chemistry
J Surfactants Deterg,Journal of Surfactants and Detergents
J Surg Res,Journal of Surgical Research
J Synth Lubr,Journal of Synthetic Lubrication
J Synth Org Chem Jpn,Journal of Synthetic Organic Chemistry Japan
J Air Waste Manage Assoc,Journal of the Air & Waste Management Association
J Am Assoc Lab Anim Sci,Journal of the American Association for Laboratory Animal Science
J Am Ceram Soc,Journal of the American Ceramic Society
J Am Chem Soc,Journal of the American Chemical Society
J Am Leather Chem Assoc,Journal of the American Leather Chemists Association
J Am Oil Chem Soc,Journal of the American Oil Chemists' Society
J Am Soc Mass Spectrom,Journal of the American Society for Mass Spectrometry
J Am Soc Brew Chem,Journal of the American Society of Brewing Chemists
J Am Stat Assoc,Journal of the American Statistical Association
J Argent Chem Soc,Journal of the Argentine Chemical Society
J Assoc Public Anal,Journal of the Association of Public Analysts
J Braz Chem Soc,Journal of the Brazilian Chemical Society
J Ceram Soc Jpn,Journal of the Ceramic Society of Japan
J Chem Soc Pak,Journal of the Chemical Society of Pakistan
J Chem Soc Chem Commun,"Journal of the Chemical Society, Chemical Communications"
J Chem Soc Dalton Trans,"Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry"
J Chem Soc Faraday Trans,"Journal of the Chemical Society, Faraday Transactions"
J Chem Soc Perkin Trans 1,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry"
J Chem Soc Perkin Trans 2,"Journal of the Chemical Society, Perkin Transactions 2: Physical Organic Chemistry"
J Chil Chem Soc,Journal of the Chilean Chemical Society
J Chin Chem Soc Taipei Taiwan,"Journal of the Chinese Chemical Society (Taipei, Taiwan)"
J Chin Inst Chem Eng,Journal of the Chinese Institute of Chemical Engineers
J Electrochem Soc India,Journal of the Electrochemical Society of India
J Electrochem Soc,Journal of the Electrochemical Society
J Energy Inst,Journal of the Energy Institute
J Eur Ceram Soc,Journal of the European Ceramic Society
J Indian Chem Soc,Journal of the Indian Chemical Society
J Indian Inst Sci,Journal of the Indian Institute of Science
J Indian Soc Soil Sci,Journal of the Indian Society of Soil Science
J Inst Brew,Journal of the Institute of Brewing
J Inst Energy,Journal of the Institute of Energy
J Inst Chem India,Journal of the Institution of Chemists (India)
J Jpn Pet Inst,Journal of the Japan Petroleum Institute
J Korean Ceram Soc,Journal of the Korean Ceramic Society
J Korean Chem Soc,Journal of the Korean Chemical Society
J Natl Cancer Inst,Journal of the National Cancer Institute (1988)
J Opt Soc Am A,Journal of the Optical Society of America A: Optics and Image Science
J Opt Soc Am B,Journal of the Optical Society of America B: Optical Physics
J Phys Soc Jpn,Journal of the Physical Society of Japan
J Sci Food Agric,Journal of the Science of Food and Agriculture
J Serb Chem Soc,Journal of the Serbian Chemical Society
J Soc Dyers Colour,Journal of the Society of Dyers and Colourists
J Soc Inorg Mater Jpn,"Journal of the Society of Inorganic Materials, Japan"
J Soc Leather Technol Chem,Journal of the Society of Leather Technologists and Chemists
J Taiwan Inst Chem Eng,Journal of the Taiwan Institute of Chemical Engineers
J Theor Comput Chem,Journal of Theoretical & Computational Chemistry
J Theor Biol,Journal of Theoretical Biology
J Therm Anal Calorim,Journal of Thermal Analysis and Calorimetry
J Therm Anal,Journal of Thermal Analysis
J Thermophys Heat Transfer,Journal of Thermophysics and Heat Transfer
J Toxicol Environ Health,Journal of Toxicology and Environmental Health
J Toxicol Environ Health Part A,"Journal of Toxicology and Environmental Health, Part A"
J Toxicol Environ Health Part B,"Journal of Toxicology and Environmental Health, Part B: Critical Reviews"
J Trace Microprobe Tech,Journal of Trace and Microprobe Techniques
J Trace Elem Med Biol,Journal of Trace Elements in Medicine and Biology
J Vac Sci Technol A,"Journal of Vacuum Science & Technology, A: Vacuum, Surfaces, and Films"
J Vac Sci Technol B Microelectron Nanomet,"Journal of Vacuum Science & Technology, B: Microelectronics and Nanometer Structures--Processing, Measurement, and Phenomena"
J Vac Sci Technol B,"Journal of Vacuum Science & Technology, B: Microelectronics Processing and Phenomena"
